@relation jedit-4.1-clean-sorted

@attribute id numeric
@attribute name {jEdit}
@attribute version numeric
@attribute name.1 {org.gjt.sp.jedit.jEdit,org.gjt.sp.jedit.textarea.JEditTextArea,org.gjt.sp.jedit.Buffer,org.gjt.sp.jedit.Java14,org.gjt.sp.jedit.browser.VFSBrowser,org.gjt.sp.jedit.search.SearchDialog,org.gjt.sp.jedit.MiscUtilities,org.gjt.sp.jedit.View,org.gjt.sp.jedit.gui.DockableWindowManager,org.gjt.sp.jedit.textarea.TextAreaPainter,org.gjt.sp.jedit.gui.CompleteWord,org.gjt.sp.jedit.io.FileVFS,org.gjt.sp.jedit.gui.GrabKeyDialog,org.gjt.sp.jedit.textarea.ChunkCache,org.gjt.sp.jedit.EditPane,org.gjt.sp.jedit.browser.BrowserView,org.gjt.sp.jedit.gui.KeyEventWorkaround,org.gjt.sp.jedit.buffer.BufferIORequest,org.gjt.sp.jedit.textarea.Gutter,org.gjt.sp.jedit.io.FileRootsVFS,org.gjt.sp.jedit.gui.StatusBar,org.gjt.sp.jedit.GUIUtilities,org.gjt.sp.jedit.ActionSet,org.gjt.sp.jedit.search.HyperSearchResults,org.gjt.sp.jedit.search.SearchAndReplace,org.gjt.sp.jedit.BufferHistory,org.gjt.sp.jedit.Autosave,org.gjt.sp.jedit.gui.DefaultInputHandler,org.gjt.sp.jedit.gui.BeanShellErrorDialog,org.gjt.sp.jedit.gui.SplashScreen,org.gjt.sp.jedit.gui.PanelWindowContainer,org.gjt.sp.jedit.gui.HistoryModel,com.microstar.xml.XmlParser,org.gjt.sp.jedit.textarea.Selection,org.gjt.sp.jedit.browser.BrowserIORequest,org.gjt.sp.jedit.syntax.TokenMarker,org.gjt.sp.jedit.buffer.BufferChangeListener,org.gjt.sp.jedit.gui.BufferOptions,org.gjt.sp.jedit.buffer.BufferChangeAdapter,org.gjt.sp.jedit.gui.OptionsDialog,org.gjt.sp.jedit.options.AbbrevsOptionPane,org.gjt.sp.jedit.BeanShell,org.gjt.sp.jedit.OperatingSystem,org.gjt.sp.jedit.Macros,org.gjt.sp.jedit.search.BufferListSet,org.gjt.sp.jedit.gui.LogViewer,org.gjt.sp.jedit.options.ShortcutsOptionPane,org.gjt.sp.jedit.syntax.ParserRuleSet,org.gjt.sp.util.WorkThreadPool,bsh.Interpreter,org.gjt.sp.jedit.options.ContextOptionPane,org.gjt.sp.jedit.io.VFSManager,org.gjt.sp.jedit.textarea.ExtensionManager,org.gjt.sp.jedit.pluginmgr.Roster,org.gjt.sp.jedit.gui.InputHandler,org.gjt.sp.jedit.gui.ErrorListCellRenderer,org.gjt.sp.jedit.io.VFS,org.gjt.sp.jedit.options.EditingOptionPane,org.gjt.sp.jedit.buffer.FoldHandler,org.gjt.sp.jedit.SettingsReloader,org.gjt.sp.jedit.gui.AboutDialog,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,org.gjt.sp.jedit.buffer.UndoManager,org.gjt.sp.jedit.gui.EditAbbrevDialog,org.gjt.sp.jedit.buffer.OffsetManager,org.gjt.sp.jedit.options.ToolBarOptionPane,org.gjt.sp.jedit.Registers,org.gjt.sp.jedit.search.SearchBar,bsh.NameSpace,org.gjt.sp.jedit.gui.FloatingWindowContainer,org.gjt.sp.jedit.syntax.XModeHandler,org.gjt.sp.jedit.browser.VFSFileChooserDialog,org.gjt.sp.jedit.options.DockingOptionPane,org.gjt.sp.jedit.syntax.KeywordMap,org.gjt.sp.jedit.browser.FileCellRenderer,org.gjt.sp.jedit.JARClassLoader,org.gjt.sp.jedit.search.BoyerMooreSearchMatcher,org.gjt.sp.jedit.print.BufferPrintable,org.gjt.sp.jedit.help.HelpIndex,bsh.ParserTokenManager,gnu.regexp.CharIndexedStringBuffer,org.gjt.sp.jedit.syntax.SyntaxStyle,org.gjt.sp.jedit.syntax.Token,org.gjt.sp.jedit.Marker,org.gjt.sp.jedit.gui.FontSelector,org.gjt.sp.jedit.options.TextAreaOptionPane,bsh.BSHPrimitiveType,org.gjt.sp.jedit.Abbrevs,org.gjt.sp.jedit.gui.JEditMetalTheme,gnu.regexp.RETokenEndSub,gnu.regexp.RETokenRange,org.gjt.sp.jedit.options.BrowserOptionPane,bsh.InterpreterError,bsh.BSHTernaryExpression,org.gjt.sp.jedit.search.DirectoryListSet,bsh.XThis,org.gjt.sp.jedit.Mode,bsh.BSHLiteral,org.gjt.sp.jedit.gui.DockableWindowContainer,org.gjt.sp.jedit.msg.EditorExiting,gnu.regexp.CharIndexedReader,org.gjt.sp.util.Log,org.gjt.sp.jedit.syntax.DummyTokenHandler,bsh.EvalError,org.gjt.sp.jedit.options.BrowserColorsModel,org.gjt.sp.jedit.options.PrintOptionPane,org.gjt.sp.jedit.io.UrlVFS,org.gjt.sp.util.WorkThread,bsh.BSHPrimarySuffix,gnu.regexp.RE,org.gjt.sp.jedit.syntax.SoftWrapTokenHandler,bsh.BSHArrayInitializer,gnu.regexp.CharIndexedCharArray,org.gjt.sp.jedit.print.BufferPrinter1_3,gnu.regexp.CharIndexedInputStream,bsh.BSHAllocationExpression,bsh.BSHMethodInvocation,org.gjt.sp.jedit.msg.VFSUpdate,bsh.BSHReturnType,org.gjt.sp.jedit.search.HyperSearchResult,org.gjt.sp.jedit.BeanShellAction,bsh.BshMethod,bsh.BSHImportDeclaration,bsh.BSHAssignment,org.gjt.sp.jedit.gui.EnhancedCheckBoxMenuItem,bsh.BSHForStatement,bsh.BSHAmbiguousName,org.gjt.sp.jedit.help.HelpSearchPanel,org.gjt.sp.jedit.gui.IOProgressMonitor,org.gjt.sp.jedit.pluginmgr.PluginListDownloadProgress,org.gjt.sp.jedit.buffer.LineElement,org.gjt.sp.jedit.msg.BufferUpdate,org.gjt.sp.jedit.search.SearchFileSet,bsh.Parser,bsh.CommandLineReader,org.gjt.sp.jedit.syntax.Chunk,org.gjt.sp.jedit.gui.SelectLineRange,org.gjt.sp.jedit.options.GeneralOptionPane,org.gjt.sp.jedit.gui.ToolBarManager,bsh.Node,bsh.BSHBinaryExpression,bsh.This,bsh.TargetError,org.gjt.sp.jedit.textarea.ScrollListener,org.gjt.sp.jedit.gui.RolloverButton,gnu.regexp.RETokenBackRef,org.gjt.sp.jedit.pluginmgr.PluginListHandler,org.gjt.sp.jedit.msg.SearchSettingsChanged,bsh.ASCII_UCodeESC_CharStream,org.gjt.sp.jedit.buffer.IndentFoldHandler,org.gjt.sp.jedit.options.ContextAddDialog,bsh.BSHFormalComment,org.gjt.sp.util.ReadWriteLock,org.gjt.sp.jedit.OptionGroup,bsh.JJTParserState,bsh.BshClassManager,org.gjt.sp.jedit.options.Abbrev,org.gjt.sp.jedit.OptionPane,gnu.regexp.REMatch,org.gjt.sp.util.WorkRequest,org.gjt.sp.jedit.pluginmgr.InstallPluginsDialog,org.gjt.sp.jedit.syntax.DisplayTokenHandler,org.gjt.sp.jedit.browser.BrowserListener,bsh.Primitive,bsh.Reflect,org.gjt.sp.jedit.buffer.ContentManager,gnu.regexp.CharUnit,bsh.ClassPathException,bsh.BSHThrowStatement,bsh.BSHCastExpression,com.microstar.xml.HandlerBase,org.gjt.sp.jedit.msg.ViewUpdate,org.gjt.sp.jedit.gui.TipOfTheDay,bsh.BSHUnaryExpression,bsh.BSHReturnStatement,org.gjt.sp.jedit.gui.CheckBoxListModel,bsh.ConsoleInterface,org.gjt.sp.jedit.options.FirewallOptionPane,org.gjt.sp.jedit.gui.VariableGridLayout,org.gjt.sp.jedit.gui.EnhancedDialog,bsh.BSHSwitchLabel,com.microstar.xml.XmlException,org.gjt.sp.jedit.msg.PropertiesChanged,org.gjt.sp.jedit.AbstractOptionPane,gnu.regexp.REToken,gnu.regexp.UncheckedRE,org.gjt.sp.jedit.syntax.DefaultTokenHandler,org.gjt.sp.jedit.textarea.TextAreaExtension,bsh.ParserTreeConstants,org.gjt.sp.jedit.help.HelpViewer,bsh.BSHIfStatement,org.gjt.sp.jedit.options.BrowserColorsOptionPane,org.gjt.sp.jedit.EditBus,org.gjt.sp.jedit.options.GutterOptionPane,bsh.BSHLHSPrimarySuffix,gnu.regexp.RETokenPOSIX,gnu.regexp.REFilterInputStream,org.gjt.sp.jedit.buffer.DummyFoldHandler,org.gjt.sp.jedit.gui.RecentDirectoriesMenu,org.gjt.sp.jedit.buffer.RootElement,org.gjt.sp.jedit.options.StatusBarOptionPane,gnu.regexp.RETokenAny,org.gjt.sp.jedit.options.AppearanceOptionPane,org.gjt.sp.jedit.gui.RecentFilesMenu,bsh.commands.dir,gnu.regexp.REException,bsh.BSHLHSPrimaryExpression,bsh.StringUtil,bsh.Name,org.gjt.sp.jedit.options.WindowTableModel,org.gjt.sp.jedit.EditPlugin,org.gjt.sp.jedit.gui.ErrorListDialog,org.gjt.sp.jedit.pluginmgr.PluginManagerProgress,bsh.BSHBlock,org.gjt.sp.jedit.EBComponent,bsh.BSHPrimaryExpression,org.gjt.sp.jedit.options.SyntaxHiliteOptionPane,org.gjt.sp.jedit.EBMessage,org.gjt.sp.util.SegmentBuffer,org.gjt.sp.jedit.msg.EditPaneUpdate,org.gjt.sp.jedit.help.HelpTOCPanel,org.gjt.sp.jedit.search.AllBufferSet,bsh.ReturnControl,org.gjt.sp.jedit.gui.BufferSwitcher,org.gjt.sp.jedit.syntax.TokenHandler,org.gjt.sp.jedit.msg.MacrosChanged,org.gjt.sp.jedit.search.CharIndexedSegment,bsh.LHS,org.gjt.sp.jedit.TextUtilities,gnu.regexp.RETokenWordBoundary,org.gjt.sp.jedit.gui.AddAbbrevDialog,bsh.BSHFormalParameter,bsh.BSHWhileStatement,org.gjt.sp.jedit.proto.jeditresource.Handler,gnu.regexp.CharIndexed,gnu.regexp.RETokenRepeated,gnu.regexp.REMatchEnumeration,bsh.BSHType,gnu.regexp.RETokenOneOf,bsh.BSHArrayDimensions,org.gjt.sp.jedit.options.StyleTableModel,gnu.regexp.CharIndexedString,org.gjt.sp.jedit.options.AbbrevsModel,gnu.regexp.RETokenChar,gnu.regexp.REFilterReader,gnu.regexp.RETokenEnd,org.gjt.sp.jedit.options.StyleEditor,org.gjt.sp.jedit.search.RESearchMatcher,org.gjt.sp.jedit.search.HyperSearchRequest,bsh.BlockNameSpace,bsh.NameSource,bsh.TokenMgrError,bsh.CallStack,org.gjt.sp.jedit.gui.MacrosMenu,bsh.BSHSwitchStatement,org.gjt.sp.jedit.io.FavoritesVFS,org.gjt.sp.jedit.ModeCatalogHandler,bsh.reflect.ReflectManagerImpl,org.gjt.sp.jedit.EBPlugin,org.gjt.sp.jedit.gui.JCheckBoxList,gnu.regexp.RETokenStart,org.gjt.sp.jedit.proto.jeditresource.PluginResURLConnection,bsh.BSHVariableDeclarator,bsh.BSHFormalParameters,bsh.ReflectManager,org.gjt.sp.jedit.pluginmgr.PluginManager,org.gjt.sp.jedit.gui.PastePrevious,org.gjt.sp.jedit.search.CurrentBufferSet,org.gjt.sp.jedit.gui.CloseDialog,org.gjt.sp.jedit.gui.AnimatedIcon,gnu.regexp.RETokenLookAhead,gnu.regexp.RESyntax,bsh.BSHTypedVariableDeclaration,org.gjt.sp.jedit.textarea.FoldVisibilityManager,org.gjt.sp.jedit.EditAction,org.gjt.sp.jedit.EditServer,bsh.ParserConstants,org.gjt.sp.util.WorkThreadProgressListener,org.gjt.sp.jedit.msg.EditorStarted,com.microstar.xml.XmlHandler,org.gjt.sp.jedit.gui.DirectoryMenu,org.gjt.sp.jedit.gui.EnhancedMenuItem,org.gjt.sp.jedit.syntax.ParserRule,org.gjt.sp.jedit.gui.ViewRegisters,org.gjt.sp.jedit.browser.BrowserCommandsMenu,org.gjt.sp.jedit.gui.EnhancedMenu,bsh.Capabilities,org.gjt.sp.jedit.gui.FontSelectorDialog,bsh.BSHMethodDeclaration,org.gjt.sp.jedit.options.GlobalOptions,org.gjt.sp.jedit.search.SearchMatcher,bsh.ParseException,bsh.Token,bsh.JThis,org.gjt.sp.jedit.msg.EditorExitRequested,org.gjt.sp.jedit.gui.ColorWellButton,bsh.SimpleNode,bsh.BSHArguments,org.gjt.sp.jedit.pluginmgr.PluginList,org.gjt.sp.jedit.gui.AbbrevEditor,org.gjt.sp.jedit.gui.EnhancedButton,org.gjt.sp.jedit.print.BufferPrinter1_4,bsh.ReflectError,org.gjt.sp.jedit.ActionListHandler,org.gjt.sp.jedit.gui.MarkersMenu,bsh.BSHStatementExpressionList,org.gjt.sp.jedit.gui.HistoryTextField,org.gjt.sp.util.IntegerArray,gnu.regexp.IntPair,org.gjt.sp.jedit.options.LoadSaveOptionPane,org.gjt.sp.jedit.options.ToolBarEditDialog,bsh.BSHTryStatement}
@attribute wmc numeric
@attribute dit numeric
@attribute noc numeric
@attribute cbo numeric
@attribute rfc numeric
@attribute lcom numeric
@attribute ca numeric
@attribute ce numeric
@attribute npm numeric
@attribute lcom3 numeric
@attribute loc numeric
@attribute dam numeric
@attribute moa numeric
@attribute mfa numeric
@attribute cam numeric
@attribute ic numeric
@attribute cbm numeric
@attribute amc numeric
@attribute max_cc numeric
@attribute avg_cc numeric
@attribute bug numeric

@data
0,jEdit,4.1,org.gjt.sp.jedit.jEdit,118,1,0,197,390,5891,169,60,81,0.923077,5263,0.964286,9,0,0.053846,0,0,43.364407,61,4,1
1,jEdit,4.1,org.gjt.sp.jedit.textarea.JEditTextArea,239,4,0,66,478,13445,52,34,195,0.887106,9017,0.639344,10,0.731597,0.080053,3,19,36.472803,32,3.5774,1
2,jEdit,4.1,org.gjt.sp.jedit.Buffer,147,1,0,127,346,9847,99,51,118,0.929969,5007,0.714286,12,0,0.077948,0,0,32.727891,39,3.7959,1
3,jEdit,4.1,org.gjt.sp.jedit.Java14,3,1,0,9,19,3,0,9,1,1,54,0,0,0,0.333333,0,0,16.666667,3,1.3333,1
4,jEdit,4.1,org.gjt.sp.jedit.browser.VFSBrowser,64,5,0,51,212,1606,26,36,29,0.942356,1917,0.684211,5,0.913287,0.139063,3,12,28.359375,21,2.3594,1
5,jEdit,4.1,org.gjt.sp.jedit.search.SearchDialog,40,7,0,28,162,542,8,26,9,0.831502,1807,0.892857,5,0.946609,0.186813,2,3,43.475,15,2.175,1
6,jEdit,4.1,org.gjt.sp.jedit.MiscUtilities,40,1,0,73,94,780,69,8,37,1,1674,0,0,0,0.10625,0,0,40.825,17,4.7,1
7,jEdit,4.1,org.gjt.sp.jedit.View,60,6,0,138,221,1420,125,37,45,0.949153,1722,0.515152,9,0.916193,0.082456,2,3,27.15,20,2.8,1
8,jEdit,4.1,org.gjt.sp.jedit.gui.DockableWindowManager,31,5,0,29,83,267,21,16,23,0.921429,751,0.571429,5,0.957478,0.209524,0,0,22.774194,12,2.3548,1
9,jEdit,4.1,org.gjt.sp.jedit.textarea.TextAreaPainter,53,4,0,22,145,988,14,14,46,0.960918,1107,0.677419,5,0.925501,0.101415,3,25,19.301887,7,1.6038,1
10,jEdit,4.1,org.gjt.sp.jedit.gui.CompleteWord,17,5,0,16,94,106,4,16,3,0.770833,554,1,3,0.974277,0.215686,3,4,31.235294,15,2.5294,1
11,jEdit,4.1,org.gjt.sp.jedit.io.FileVFS,20,2,0,11,91,190,4,9,19,1,690,0,0,0.672414,0.4,2,3,33.4,8,3,1
12,jEdit,4.1,org.gjt.sp.jedit.gui.GrabKeyDialog,23,6,0,8,74,217,4,7,6,0.842975,521,0.909091,3,0.96875,0.166008,3,4,21.173913,8,1.9565,1
13,jEdit,4.1,org.gjt.sp.jedit.textarea.ChunkCache,16,1,0,14,64,0,6,10,1,0.713333,1130,0.9,4,0,0.386667,0,0,69,29,5.875,1
14,jEdit,4.1,org.gjt.sp.jedit.EditPane,21,5,0,36,139,74,23,21,14,0.566667,785,1,5,0.970282,0.206349,1,1,36.095238,29,3.2381,1
15,jEdit,4.1,org.gjt.sp.jedit.browser.BrowserView,28,5,0,25,136,184,14,20,12,0.831909,868,1,4,0.960294,0.145604,1,4,29.535714,15,2.3571,1
16,jEdit,4.1,org.gjt.sp.jedit.gui.KeyEventWorkaround,4,1,0,6,16,0,5,1,3,1.095238,218,1,0,0,0.333333,0,0,51.75,62,20.5,1
17,jEdit,4.1,org.gjt.sp.jedit.buffer.BufferIORequest,11,2,0,12,108,11,2,12,3,0.914286,1839,0.333333,3,0.375,0.236364,0,0,164.272727,20,5.0909,1
18,jEdit,4.1,org.gjt.sp.jedit.textarea.Gutter,43,4,0,13,108,737,6,12,36,0.940952,956,0.88,3,0.938953,0.121646,3,17,20.651163,29,1.8837,1
19,jEdit,4.1,org.gjt.sp.jedit.io.FileRootsVFS,6,2,0,5,33,9,1,4,4,0.74,439,0.6,0,0.886364,0.5,2,3,70.5,13,4.1667,1
20,jEdit,4.1,org.gjt.sp.jedit.gui.StatusBar,23,5,0,37,128,153,29,18,12,0.897306,1181,0.888889,3,0.967407,0.173913,1,7,49.173913,18,2.913,1
21,jEdit,4.1,org.gjt.sp.jedit.GUIUtilities,47,1,0,101,173,1049,88,23,41,0.949275,2031,0.222222,1,0,0.118012,0,0,42.021277,16,3.7021,1
22,jEdit,4.1,org.gjt.sp.jedit.ActionSet,13,1,0,12,26,0,11,1,12,0.458333,110,1,0,0,0.384615,0,0,7.307692,2,1,1
23,jEdit,4.1,org.gjt.sp.jedit.search.HyperSearchResults,17,5,0,25,77,60,14,20,10,0.794643,429,0.857143,1,0.976084,0.235294,3,12,23.823529,9,1.8824,1
24,jEdit,4.1,org.gjt.sp.jedit.search.SearchAndReplace,32,1,0,38,123,210,11,31,29,0.683871,1566,0.9,2,0,0.136719,0,0,47.625,31,4.25,1
25,jEdit,4.1,org.gjt.sp.jedit.BufferHistory,13,1,0,11,60,44,4,10,6,0.833333,487,0.6,0,0,0.180556,0,0,36.076923,6,2.6923,1
26,jEdit,4.1,org.gjt.sp.jedit.Autosave,4,1,0,3,13,4,1,3,3,0.666667,62,1,0,0,0.333333,0,0,14.25,4,2.25,1
27,jEdit,4.1,org.gjt.sp.jedit.gui.DefaultInputHandler,16,3,0,9,65,38,3,7,13,0.666667,670,0.777778,0,0.729167,0.185185,2,5,40.3125,24,4.875,1
28,jEdit,4.1,org.gjt.sp.jedit.gui.BeanShellErrorDialog,3,7,0,6,35,3,3,4,3,2,161,0,0,0.99696,0.555556,0,0,52.666667,1,0.6667,1
29,jEdit,4.1,org.gjt.sp.jedit.gui.SplashScreen,5,3,0,3,56,2,1,2,5,0.642857,289,1,0,0.987988,0.7,2,6,55.4,2,1,1
30,jEdit,4.1,org.gjt.sp.jedit.gui.PanelWindowContainer,22,1,0,21,89,97,12,15,10,0.857143,623,0.846154,3,0,0.25,0,0,26.727273,6,1.7727,1
31,jEdit,4.1,org.gjt.sp.jedit.gui.HistoryModel,9,1,0,12,45,8,10,3,8,0.6875,294,0.833333,0,0,0.333333,0,0,31,10,3,1
32,jEdit,4.1,com.microstar.xml.XmlParser,118,1,0,7,180,6075,6,1,27,0.921126,5207,0.717391,1,0,0.138067,0,0,42.347458,9,1.5678,1
33,jEdit,4.1,org.gjt.sp.jedit.textarea.Selection,14,1,2,18,23,59,17,1,9,0.807692,117,0,0,0,0.297619,0,0,7.071429,5,1.0714,1
34,jEdit,4.1,org.gjt.sp.jedit.browser.BrowserIORequest,7,2,0,9,29,0,2,8,3,0.625,879,0.666667,2,0.5,0.25,0,0,122.857143,3,1.4286,1
35,jEdit,4.1,org.gjt.sp.jedit.syntax.TokenMarker,13,1,0,15,65,30,5,13,7,0.796875,1525,0.9375,4,0,0.215385,0,0,115.076923,42,8.8462,1
36,jEdit,4.1,org.gjt.sp.jedit.buffer.BufferChangeListener,4,1,0,4,4,6,4,1,4,2,4,0,0,0,0.916667,0,0,0,1,1,1
37,jEdit,4.1,org.gjt.sp.jedit.gui.BufferOptions,12,7,0,10,72,32,2,9,3,0.872727,720,1,3,0.983508,0.291667,1,1,57.75,8,1.5,1
38,jEdit,4.1,org.gjt.sp.jedit.buffer.BufferChangeAdapter,5,1,0,2,6,10,0,2,5,2,12,0,0,0,0.8,0,0,1.4,1,0.8,1
39,jEdit,4.1,org.gjt.sp.jedit.gui.OptionsDialog,19,7,1,10,108,137,4,8,10,0.767677,767,0.909091,0,0.97474,0.194737,4,8,38.789474,10,2.4211,1
40,jEdit,4.1,org.gjt.sp.jedit.options.AbbrevsOptionPane,14,6,0,14,87,51,5,13,1,0.817308,497,1,1,0.980938,0.5,4,12,33.928571,3,1.4286,1
41,jEdit,4.1,org.gjt.sp.jedit.BeanShell,22,1,0,29,95,137,9,22,16,0.785714,1219,0.666667,2,0,0.209524,0,0,54.136364,14,2.0455,1
42,jEdit,4.1,org.gjt.sp.jedit.OperatingSystem,13,1,0,27,31,34,26,1,11,0.962963,237,0.888889,0,0,0.083333,0,0,16.538462,3,1.9231,1
43,jEdit,4.1,org.gjt.sp.jedit.Macros,27,1,0,20,102,291,6,17,22,0.875,755,0.875,2,0,0.125874,0,0,26.666667,12,2.5185,1
44,jEdit,4.1,org.gjt.sp.jedit.search.BufferListSet,8,1,2,5,12,8,2,3,7,0.428571,149,1,0,0,0.4375,0,0,17.5,9,2.875,1
45,jEdit,4.1,org.gjt.sp.jedit.gui.LogViewer,5,5,0,5,28,0,2,5,2,0.666667,119,1,0,0.993912,0.4,0,0,22.2,1,0.8,1
46,jEdit,4.1,org.gjt.sp.jedit.options.ShortcutsOptionPane,12,6,0,12,59,38,5,11,1,0.8,307,1,1,0.983824,0.25,4,12,24.166667,3,1.5833,1
47,jEdit,4.1,org.gjt.sp.jedit.syntax.ParserRuleSet,27,1,0,14,36,293,11,4,26,0.925339,293,1,7,0,0.136364,0,0,9.222222,4,1.1481,1
48,jEdit,4.1,org.gjt.sp.util.WorkThreadPool,21,1,0,14,50,90,13,5,9,0.8625,660,0.6875,5,0,0.169312,0,0,29.666667,14,3.1429,1
49,jEdit,4.1,bsh.Interpreter,55,1,0,59,148,1039,45,21,45,0.778867,1684,0.117647,5,0,0.126362,0,0,29.309091,32,1.6,1
50,jEdit,4.1,org.gjt.sp.jedit.options.ContextOptionPane,11,6,0,9,53,25,3,8,1,0.716667,349,1,0,0.985272,0.5,3,5,30.181818,6,1.9091,1
51,jEdit,4.1,org.gjt.sp.jedit.io.VFSManager,25,1,0,48,72,200,41,16,18,0.871212,375,0.909091,3,0,0.113095,0,0,13.56,8,1.56,1
52,jEdit,4.1,org.gjt.sp.jedit.textarea.ExtensionManager,7,1,0,5,19,0,2,3,0,0,204,1,0,0,0.535714,0,0,28,3,2.1429,1
53,jEdit,4.1,org.gjt.sp.jedit.pluginmgr.Roster,6,1,0,9,16,0,8,2,1,0,89,1,0,0,0.375,0,0,13.666667,4,1.8333,1
54,jEdit,4.1,org.gjt.sp.jedit.gui.InputHandler,18,2,1,14,54,71,8,10,16,0.789916,460,1,2,0.15,0.208333,0,0,24.166667,14,2.5556,1
55,jEdit,4.1,org.gjt.sp.jedit.gui.ErrorListCellRenderer,4,4,0,2,24,0,1,1,3,0.444444,195,1,0,0.995378,0.375,1,3,46.25,2,1.25,1
56,jEdit,4.1,org.gjt.sp.jedit.io.VFS,34,1,4,37,83,471,29,15,28,0.969697,679,0.333333,0,0,0.242424,0,0,18.617647,5,1.5588,1
57,jEdit,4.1,org.gjt.sp.jedit.options.EditingOptionPane,12,6,0,7,44,26,3,6,1,0.449198,650,1,3,0.983824,0.5,1,3,51.75,3,1.3333,1
58,jEdit,4.1,org.gjt.sp.jedit.buffer.FoldHandler,11,1,3,7,29,33,6,5,8,0.633333,141,0.666667,0,0,0.185714,0,0,11.545455,3,1.4545,1
59,jEdit,4.1,org.gjt.sp.jedit.SettingsReloader,3,1,0,9,19,3,1,9,1,2,110,0,0,0,0.555556,0,0,35.666667,17,6.3333,1
60,jEdit,4.1,org.gjt.sp.jedit.gui.AboutDialog,3,7,0,5,27,3,1,5,3,1,110,1,0,0.99696,0.666667,0,0,35.333333,1,0.6667,1
61,jEdit,4.1,org.gjt.sp.jedit.buffer.ExplicitFoldHandler,2,2,0,2,6,1,1,2,2,2,84,0,0,0.888889,0.625,0,0,41,9,4.5,1
62,jEdit,4.1,org.gjt.sp.jedit.buffer.UndoManager,14,1,0,8,32,29,6,7,11,0.653846,485,1,3,0,0.223214,0,0,33.071429,8,3.5,1
63,jEdit,4.1,org.gjt.sp.jedit.gui.EditAbbrevDialog,8,6,0,6,42,10,4,4,4,0.571429,207,1,1,0.990868,0.291667,2,2,24.375,2,1,1
64,jEdit,4.1,org.gjt.sp.jedit.buffer.OffsetManager,27,1,0,7,39,87,3,6,19,0.873932,1342,1,3,0,0.230453,0,0,48.037037,15,3.9259,1
65,jEdit,4.1,org.gjt.sp.jedit.options.ToolBarOptionPane,13,6,0,11,68,42,3,10,1,0.796296,512,1,5,0.982379,0.5,3,5,37.692308,9,2.1538,1
66,jEdit,4.1,org.gjt.sp.jedit.Registers,14,1,0,11,39,61,4,7,12,0.307692,314,1,1,0,0.320513,0,0,21.357143,8,2.5,1
67,jEdit,4.1,org.gjt.sp.jedit.search.SearchBar,19,5,0,20,83,105,8,17,4,0.822222,477,1,3,0.973174,0.336842,2,5,23.578947,10,1.4211,1
68,jEdit,4.1,bsh.NameSpace,56,1,1,47,140,1358,37,18,39,0.94026,1757,0.380952,4,0,0.11016,0,0,30,7,1.6964,1
69,jEdit,4.1,org.gjt.sp.jedit.gui.FloatingWindowContainer,9,6,0,6,26,34,3,6,9,0.9375,91,1,2,0.987749,0.592593,3,3,8.888889,1,0.8889,1
70,jEdit,4.1,org.gjt.sp.jedit.syntax.XModeHandler,16,2,0,15,77,78,1,15,8,0.875269,1296,1,5,0.464286,0.265625,1,3,78.0625,35,6,1
71,jEdit,4.1,org.gjt.sp.jedit.browser.VFSFileChooserDialog,10,7,0,19,90,15,6,18,5,0.793651,606,1,2,0.986466,0.25,3,6,58.9,17,3.4,1
72,jEdit,4.1,org.gjt.sp.jedit.options.DockingOptionPane,12,6,0,8,49,40,3,7,3,0.858586,342,1,1,0.983824,0.5,4,10,26.75,5,1.5,1
73,jEdit,4.1,org.gjt.sp.jedit.syntax.KeywordMap,10,1,0,8,28,3,7,2,8,0.666667,230,1,1,0,0.35,0,0,21.5,5,1.8,1
